ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,RecursiveWeight,HistoricalAnchorWeight,AnchorClicks,AnchorImpressions,StabilizedPredictedClicks,StabilizedPredictedImpressions
2026-03-03,1073.893288,62056.842959999994,6197.879999999999,2013.48,68074.65000000001,1173.04,-698.974918,-13643.722768000003,0.9579319103034591,0.16966322524032812,1101.917795145633,32873.835596770296,939.1668294979179,43685.51860648966
2026-03-04,1071.6966,61613.95716,6197.879999999999,2149.14,74341.05,1153.68,-822.0538500000001,-20234.277128,0.9460322890003924,0.17836294837786432,1024.5329887841729,30727.041431369227,924.1209769012679,42849.71543941943
2026-03-05,1066.027664,61713.92172,6197.879999999999,2076.5499999999997,73283.7,1165.1200000000001,-763.1718040000002,-19100.361176,0.9342804871671995,0.18695460181893814,988.7093191944244,30659.266577142782,913.0237908731995,42778.82863351853
2026-03-06,1065.833912,61886.160599999996,6197.879999999999,2044.4199999999998,71917.65000000001,1136.96,-734.749282,-17598.047480000005,0.9226746685609348,0.1954395280268795,969.218644955971,29309.556853366892,908.2722453408909,42430.77341310171
2026-03-07,1111.505824,64275.857639999995,6197.879999999999,2236.0099999999998,80394.3,1178.32,-858.8590640000001,-23922.896712,0.9112130197488291,0.2038190527886711,1143.3812041618064,34178.73871594549,972.5302802033524,44900.8780432658
2026-03-08,1143.032696,64989.130919999996,6197.879999999999,2488.29,85046.85,1163.36,-1051.4459060000002,-27912.966536,0.8998937498249364,0.2120944854221052,1305.6621276654769,39323.480485090986,1027.0358102741855,46585.335190339574
2026-03-09,1102.627136,63707.26308,6197.879999999999,2748.9,83964.3,1210.88,-1324.7684960000001,-27951.678664,0.8887150901303019,0.22026711898036744,1144.7246855698509,34778.2134507331,967.0146202825134,44576.087197897265
2026-03-10,1033.321432,62994.979199999994,6197.879999999999,2897.65,86282.7,1208.24,-1527.9070020000001,-30865.311360000003,0.8776752939766052,0.22833823045407856,1088.1908377643963,32464.31526577771,909.7503977854129,43444.298777562246
2026-03-11,1024.41092,62551.06824,6197.879999999999,2722.72,91358.40000000001,1214.4,-1381.16887,-36277.394192,0.8667726363732365,0.23630908097082706,1012.1506049138594,30355.67806252959,886.7011483729453,42481.09597453848
2026-03-12,1024.511696,62544.23676,6197.879999999999,2769.1299999999997,89575.5,1204.72,-1422.406156,-34517.394808000005,0.8560054137577637,0.24418091599222316,977.1162685584636,30299.77322253392,878.0801902772058,42347.316614365736
2026-03-13,1021.974928,62615.227679999996,6197.879999999999,2703.68,85968.75,1197.68,-1366.691708,-30883.469344000005,0.8453719437297472,0.25195496550850416,958.1931197497564,28976.140591152445,871.2578327417549,41850.620487814864
2026-03-14,1106.3600079999999,65601.97224,6197.879999999999,3007.1299999999997,101032.05,1249.6,-1550.9838380000003,-43214.797392,0.8348705647878611,0.25963244423072335,1130.7625017065002,33801.53176818011,966.1585030256989,44847.359853701026
2026-03-15,1145.9280560000002,67569.85536,6197.879999999999,3286.7799999999997,105666.75,1191.52,-1759.754866,-46099.858688,0.8244996360702803,0.2672145517805513,1291.6824114423205,38902.44422583201,1032.1256740080346,47475.38833658042
2026-03-16,1109.0256319999999,66167.0502,6197.879999999999,2408.56,84019.95,1174.8,-1015.086952,-25874.98316,0.8142575370982932,0.2747024728777183,1132.8339058650984,34416.956215800965,968.2000461736027,45155.392656289034
2026-03-17,1085.230848,64825.10808,6197.879999999999,2310.98,81913.65000000001,1100.0,-952.4193280000001,-24951.759664,0.8041426675230975,0.28209737752513037,1077.2246926232046,32137.159053136453,938.7364673220883,43586.605230030735
2026-03-18,1080.2658880000001,64565.449559999994,6197.879999999999,2130.1,70388.85,1064.8,-796.359768,-13761.757047999996,0.7941534468757432,0.2894004211916835,1002.2552432971717,30058.903639740944,914.3475224976665,42596.772466707465
2026-03-19,1088.80876,64712.67228,6197.879999999999,1426.81,54217.8,973.28,-161.1926100000001,2382.875976000001,0.784288314320181,0.2966127449928088,967.8486445077135,30012.389913008534,908.5280314288525,42532.07533510481
2026-03-20,1084.7195840000002,64683.628679999994,6197.879999999999,874.65,34874.700000000004,803.44,326.4795760000001,21516.584856,0.7745457284093783,0.3037354758687738,949.376361537781,28709.51832029424,899.6535377053303,41899.62630630705
2026-03-21,1174.93168,67443.0774,6197.879999999999,1212.61,42664.65,909.04,117.38651999999996,16192.347080000001,0.764924166844465,0.3107697267607693,1120.6685983268574,33499.79785390808,1001.2842871239866,44954.42502297799
2026-03-22,1200.0655680000002,69008.09999999999,6197.879999999999,1525.58,49167.3,980.32,-135.77624799999995,11107.98,0.7554221262368715,0.3177165967848081,1280.4964439621588,38565.549125183345,1064.2863164306136,47617.27274645224
2026-03-23,1131.421408,67750.98071999999,6197.879999999999,1505.35,51215.85,984.72,-187.7204880000001,7989.436624000001,0.7460381218734209,0.32457717140346537,1123.3166365395305,34127.80928969275,977.0667273688833,45153.603507989064
2026-03-24,1091.6776,66141.74519999999,6197.879999999999,1441.09,49140.0,992.64,-170.9886,8650.84584,0.7367706874843392,0.3313525225954831,1068.4450055055327,31875.23208166098,937.4923027020257,43384.66762074485
2026-03-25,1076.6595840000002,65589.97068,6197.879999999999,1525.58,50976.450000000004,995.28,-261.55542400000013,6353.681256000004,0.7276183750141486,0.3380437090232695,994.3306670069022,29821.23556398077,904.6081270667311,42155.97782317133
2026-03-26,1075.69384,65570.22732,6197.879999999999,1375.6399999999999,50134.35,947.76,-128.97974000000008,7170.650344000005,0.7185797543954051,0.3446517761983172,960.4248056007578,29782.181244337782,891.9420616253274,42014.0363598759
2026-03-27,1085.794008,65723.12964,6197.879999999999,1385.1599999999999,51700.950000000004,1001.44,-127.16533800000003,5751.485688000002,0.7096534133252476,0.35117775664456685,942.311863004684,28495.885078224543,890.0610102240216,41394.814834134486
2026-03-28,1187.69404,68573.75507999999,6197.879999999999,1527.96,56176.05,1046.32,-150.50569,3789.547735999997,0.7008379570447232,0.35762267005974013,1112.578748512477,33257.970489551815,1000.9952476791967,44654.38944597938
2026-03-29,1220.149216,69920.31396,6197.879999999999,1645.77,57719.55,1048.08,-222.3663760000001,3427.765432,0.6921320081208533,0.3639875234746702,1271.5291685659786,38295.47582553376,1073.3888473701618,47446.80518689213
