ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTRImpliedPredictedImpressions
2026-07-18,1682.820412,71303.863776,2952.1000000000004,702.26,23921.0,810.4200000000001,558.16176,33383.889318,58213.041679113165
2026-07-19,1925.237811,71212.893984,2952.1000000000004,702.26,27534.8,858.78,802.61628,29601.076361999996,58138.77321717017
2026-07-20,1788.8663099999999,71211.432288,2952.1000000000004,694.86,25393.88,823.6800000000001,677.0988,31797.148734,58137.57987692655
2026-07-21,1624.710927,69940.853856,2952.1000000000004,730.38,25621.12,872.0400000000001,453.96396,30531.583758,57100.269536340296
2026-07-22,1648.3207649999997,69553.23792,2952.1000000000004,656.38,23599.52,800.28,597.7721999999999,32291.44581,56783.816802323774
2026-07-23,1653.6606519999998,69468.332064,2952.1000000000004,683.02,23479.44,801.84,559.9569599999999,32345.699802000003,56714.49898597576
2026-07-24,1610.561708,69332.521344,2952.1000000000004,670.4399999999999,23333.52,858.78,536.89584,32385.113592,56603.62203365986
2026-07-25,1700.7634699999999,70524.057024,2952.1000000000004,719.28,23598.760000000002,819.0,548.6556,33081.016332,57576.40124265046
2026-07-26,1901.654272,70852.964544,2952.1000000000004,737.78,24394.48,826.8000000000001,721.23456,32531.593692000006,57844.92395876138
2026-07-27,1782.8597849999999,70970.382144,2952.1000000000004,714.1,25564.88,820.5600000000001,639.8417999999998,31425.795491999997,57940.78462157391
2026-07-28,1621.14057,69724.99987199999,2952.1000000000004,668.96,24674.16,827.58,549.9636000000002,31328.082396,56924.044626471885
2026-07-29,1597.3127240000001,69349.099488,2952.1000000000004,669.7,24416.52,826.02,524.7355200000001,31287.083334,56617.15656231692
2026-07-30,1613.071418,69287.419968,2952.1000000000004,654.16,23591.16,794.82,565.8266399999999,32084.048724,56566.80091146765
2026-07-31,1580.1197229999998,69184.88784,2952.1000000000004,643.8,21955.64,736.32,549.39804,33679.30137,56483.09286642449
2026-08-01,1724.203971,70397.06793599999,2952.1000000000004,669.7,23675.52,799.5,652.6930800000001,32899.057698000004,57472.72634088413
2026-08-02,1848.5919339999998,71238.947808,2952.1000000000004,725.9399999999999,25133.96,800.28,686.9263199999999,32086.265093999995,58160.04376636758
2026-08-03,1698.581843,71665.10140799999,2952.1000000000004,678.58,23758.36,818.22,612.45564,33844.314893999996,58507.95895587873
2026-08-04,1617.540701,70636.12953600001,2952.1000000000004,665.26,23376.08,845.52,552.3334800000001,33400.61524800001,57667.89813309437
2026-08-05,1642.0312579999998,70335.497952,2952.1000000000004,685.98,23484.760000000002,780.78,543.4298399999999,33044.812086,57422.460116096736
2026-08-06,1698.8301960000001,69979.57871999999,2952.1000000000004,741.48,23825.24,755.0400000000001,510.7060800000001,32406.187710000002,57131.88482340428
2026-08-07,1657.691658,70058.929248,2952.1000000000004,641.58,21829.48,755.82,631.2218399999999,34518.94001400001,57196.66722577501
2026-08-08,1808.242366,71245.455552,2952.1000000000004,633.4399999999999,23043.96,741.0,796.2376800000001,34236.552636,58165.35674034469
2026-08-09,2000.8407719999998,71678.733792,2952.1000000000004,722.24,25901.56,827.58,846.4545599999999,31655.791205999998,58519.08854263535
2026-08-10,1853.1377339999997,71836.93219200001,2952.1000000000004,783.66,26814.32,814.32,597.9103200000001,30847.547406000005,58648.24297501927
2026-08-11,1778.4041869999999,70616.683296,2952.1000000000004,807.34,27103.88,864.24,484.1487599999999,29558.915178000003,57652.02206804439
2026-08-12,1785.985796,70239.53462399999,2952.1000000000004,909.46,29249.36,853.32,326.1940799999998,27050.541882000005,57344.11489163485
2026-08-13,1792.3417049999998,70205.897088,2952.1000000000004,830.28,29104.2,856.44,461.0034,27172.191384,57316.65293962477
2026-08-14,1698.049437,70129.131456,2952.1000000000004,779.22,26795.32,830.7,448.71876,29479.459308,57253.98086691384
2026-08-15,1796.763031,71423.80992,2952.1000000000004,849.52,27365.32,827.58,434.26188,29946.385560000002,58310.96666536435
2026-08-16,1924.316989,71840.075904,2952.1000000000004,908.72,29075.32,882.1800000000001,466.88772000000006,28529.601672,58650.809526507386
