ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,MLOnlyCTRPredictedImpressions
2026-07-21,1419.915432,85240.415637,3063.5000000000005,809.3399999999999,33374.88,1263.34,321.557805,45014.514514999995,55534.18450163987
2026-07-22,1440.54924,84768.00871499999,3063.5000000000005,727.3399999999999,30741.48,1159.3799999999999,423.4219749999999,47609.182924999994,55226.41109427028
2026-07-23,1445.216032,84664.529703,3063.5000000000005,756.8599999999999,30585.06,1161.6399999999999,396.6361799999999,47689.172784999995,55158.99445274512
2026-07-24,1407.549728,84499.01038799998,3063.5000000000005,742.92,30394.98,1244.1299999999999,380.30122,47747.28286,55051.15851472084
2026-07-25,1486.38152,85951.194498,3063.5000000000005,797.04,30740.489999999998,1186.5,388.63105,48773.293309999994,55997.25737747773
2026-07-26,1661.9499520000002,86352.050538,3063.5000000000005,817.54,31777.02,1197.8,510.87448,47963.247110000004,56258.41534013664
2026-07-27,1558.1295599999999,86495.153238,3063.5000000000005,791.3,33301.62,1188.76,453.2212749999999,46332.903609999994,56351.646839362606
2026-07-28,1416.7951200000002,84977.34359399999,3063.5000000000005,741.28,32141.34,1198.9299999999998,389.5575500000001,46188.83943,55362.79289985087
2026-07-29,1395.970784,84519.215001,3063.5000000000005,742.0999999999999,31805.73,1196.6699999999998,371.68766000000005,46128.392094999996,55064.32183282226
2026-07-30,1409.7430880000002,84444.04308599999,3063.5000000000005,724.88,30730.59,1151.4699999999998,400.7938699999999,47303.40516999999,55015.34728283027
2026-07-31,1380.944968,84319.08205499999,3063.5000000000005,713.4,28600.11,1066.7199999999998,389.156945,49655.380225,54933.935092389744
2026-08-01,1506.8673360000003,85796.426547,3063.5000000000005,742.0999999999999,30840.48,1158.25,462.3242650000001,48505.020964999996,55896.42595987441
2026-08-02,1615.576144,86822.46764099998,3063.5000000000005,804.42,32740.29,1159.3799999999999,486.57280999999995,47306.67289499999,56564.89237917384
2026-08-03,1484.474888,87341.842341,3063.5000000000005,751.9399999999999,30948.39,1185.37,433.822745,49898.66939499999,56903.26532350711
2026-08-04,1413.649016,86087.782872,3063.5000000000005,737.18,30450.42,1224.9199999999998,391.2362150000001,49244.49684,56086.24478920971
2026-08-05,1435.052528,85721.388129,3063.5000000000005,760.14,30591.989999999998,1131.1299999999999,384.9294699999999,48719.915255,55847.53838326205
2026-08-06,1484.6919360000002,85287.61156499998,3063.5000000000005,821.64,31035.51,1093.84,361.75014000000004,47778.353675,55564.93267847232
2026-08-07,1448.738928,85384.320021,3063.5000000000005,710.9399999999999,28435.77,1094.9699999999998,447.11546999999996,50893.30899500001,55627.93829849704
2026-08-08,1580.312656,86830.39895399999,3063.5000000000005,701.92,30017.79,1073.5,564.00169,50476.968629999996,56570.05963459124
2026-08-09,1748.633952,87358.456809,3063.5000000000005,800.3199999999999,33740.19,1198.9299999999998,599.5719799999999,46671.999854999995,56914.0896598787
2026-08-10,1619.548944,87551.261109,3063.5000000000005,868.38,34929.18,1179.7199999999998,423.51981000000006,45480.358355000004,57039.70178282408
2026-08-11,1554.235592,86064.082767,3063.5000000000005,894.6199999999999,35306.37,1252.04,342.93870499999997,43580.451865,56070.80415586762
2026-08-12,1560.8615360000001,85604.432823,3063.5000000000005,1007.78,38101.14,1236.2199999999998,231.05413999999988,39882.209185,55771.34192770382
2026-08-13,1566.41628,85563.437076,3063.5000000000005,920.04,37912.05,1240.7399999999998,326.544075,40061.56422,55744.63317269991
2026-08-14,1484.0095919999999,85469.87896199999,3063.5000000000005,863.4599999999999,34904.43,1203.4499999999998,317.842455,43463.305389999994,55683.68000247338
2026-08-15,1570.2802960000001,87047.76834,3063.5000000000005,941.3599999999999,35646.93,1198.9299999999998,307.602165,44151.7223,56711.67592654527
2026-08-16,1681.756024,87555.092508,3063.5000000000005,1006.9599999999999,37874.43,1278.03,330.71213500000005,42062.87426,57042.19794168692
