page,ForecastDate,HorizonDay,PredictedClicks,PredictedImpressions,PredictedCTR,PredictedTrafficValue,ForecastMethod,StrategicMLAdjusted,StrategicMLPrimary
https://demo.example.com/page-006,2026-08-23,7,0.033124,2.41377,0.01372293134805719,0.014924,RecursiveDailyML,False,True
https://demo.example.com/page-007,2026-08-23,7,0.012922,1.343342,0.009619292778756266,0.005822,RecursiveDailyML,False,True
https://demo.example.com/page-009,2026-08-23,7,0.010282999999999999,1.214632,0.008465938654670714,0.004592,RecursiveDailyML,False,True
https://demo.example.com/page-011,2026-08-23,7,0.011556999999999998,1.00101,0.011545339207400524,0.005248,RecursiveDailyML,False,True
https://demo.example.com/page-012,2026-08-23,7,0.010647,1.226832,0.008678449861105678,0.004756,RecursiveDailyML,False,True
https://demo.example.com/page-013,2026-08-23,7,0.016835,1.095804,0.015363148884289525,0.0075439999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-014,2026-08-23,7,0.010647,1.226832,0.008678449861105678,0.004756,RecursiveDailyML,False,True
https://demo.example.com/page-005,2026-08-23,7,0.010829,0.5891379999999999,0.018381092375640343,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-010,2026-08-23,7,0.016835,1.00101,0.016818013806055885,0.0075439999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-004,2026-08-23,7,0.010282999999999999,1.224636,0.00839678075771086,0.004592,RecursiveDailyML,False,True
https://demo.example.com/page-002,2026-08-23,7,0.010829,0.5891379999999999,0.018381092375640343,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-003,2026-08-23,7,0.010374,1.3194299999999999,0.007862486073531752,0.004674,RecursiveDailyML,False,True
https://demo.example.com/,2026-08-23,7,299.10216699999995,3617.8973119999996,0.08267292883297844,134.760358,RecursiveDailyML,False,True
https://demo.example.com/page-007,2026-08-24,8,0.015925,1.433378,0.011110118893969352,0.007216,RecursiveDailyML,False,True
https://demo.example.com/page-008,2026-08-24,8,0.011010999999999998,1.2118259999999998,0.009086287965433981,0.00492,RecursiveDailyML,False,True
https://demo.example.com/page-009,2026-08-24,8,0.011010999999999998,1.309548,0.008408244676789243,0.00492,RecursiveDailyML,False,True
https://demo.example.com/page-010,2026-08-24,8,0.017107999999999998,1.049444,0.016301965612267065,0.007708,RecursiveDailyML,False,True
https://demo.example.com/page-013,2026-08-24,8,0.016835,1.095804,0.015363148884289525,0.0075439999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-012,2026-08-24,8,0.010738,1.3194299999999999,0.0081383627778662,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-014,2026-08-24,8,0.010738,1.3194299999999999,0.0081383627778662,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-015,2026-08-24,8,0.011375,1.3194299999999999,0.008621147010451483,0.005083999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-011,2026-08-24,8,0.011648,1.226832,0.009494372497619887,0.005248,RecursiveDailyML,False,True
https://demo.example.com/page-006,2026-08-24,8,0.033488,2.41377,0.01387373279144243,0.015087999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-004,2026-08-24,8,0.01092,1.2730700000000001,0.008577690150580878,0.00492,RecursiveDailyML,False,True
