ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTREnsemblePredictedImpressions
2026-06-04,1232.518196,67819.68390599999,2144.4500000000003,1673.4799999999998,66927.36,1455.1499999999999,-473.87608800000004,16765.015883999997,53118.61635780695
2026-06-05,1271.065341,68049.178984,2144.4500000000003,1497.76,63193.31999999999,1361.4099999999999,-235.849398,20782.262576,53298.36448257237
2026-06-06,1356.109027,69269.768138,2144.4500000000003,1621.9599999999998,68950.4,1386.4799999999998,-278.2257059999999,16531.441532000004,54254.37022113775
2026-06-07,1493.950731,69674.060822,2144.4500000000003,1809.6399999999999,77865.0,1398.4699999999998,-331.8018180000001,8115.755907999999,54571.025604070965
2026-06-08,1413.6661629999999,69853.457942,2144.4500000000003,2012.9599999999998,81059.64,1396.2899999999997,-647.2111140000001,5142.499587999998,54711.53535351456
2026-06-09,1387.6408,68758.14945,2144.4500000000003,1831.7199999999998,71157.87999999999,1359.2299999999998,-475.4423999999999,13692.6023,53853.65356714945
2026-06-10,1377.640901,68344.23267,2144.4500000000003,1493.1599999999999,66729.0,1396.2899999999997,-111.29107799999997,17610.691379999997,53529.46027436807
2026-06-11,1373.090719,68140.12529999999,2144.4500000000003,1390.12,62171.35999999999,1420.2699999999998,-2.1512820000001285,21916.454199999993,53369.59664100377
2026-06-12,1319.1410049999997,68165.52598,2144.4500000000003,1377.2399999999998,59480.159999999996,1334.1599999999999,-48.34239000000011,24638.999720000007,53389.49129250374
2026-06-13,1419.8931109999999,69502.269524,2144.4500000000003,1371.7199999999998,61508.99999999999,1454.0599999999997,70.7085420000001,24259.758135999997,54436.47298561996
2026-06-14,1525.3464589999999,70162.027136,2144.4500000000003,1440.7199999999998,63762.88,1399.5599999999997,112.40899799999997,22820.047103999997,54953.21693756089
2026-06-15,1413.046089,70236.150366,2144.4500000000003,1802.28,67164.0,1395.1999999999998,-414.326142,19510.398324,55011.27269941064
2026-06-16,1316.014882,69326.733172,2144.4500000000003,1573.1999999999998,62140.03999999999,1346.1499999999999,-269.10639599999996,23412.098807999995,54298.98711718595
2026-06-17,1277.595137,68839.539444,2144.4500000000003,1575.04,65214.03999999999,1369.0399999999997,-314.2102859999999,19736.881015999992,53917.400898567896
2026-06-18,1255.918573,68499.970648,2144.4500000000003,1328.4799999999998,57041.84,1340.6999999999998,-65.14709399999997,27490.038672000002,53651.43940239215
2026-06-19,1194.329409,68265.94665,2144.4500000000003,1160.12,51856.64,1289.4699999999998,52.47889800000007,32386.4431,53468.144077903286
2026-06-20,1268.7141739999997,69158.963758,2144.4500000000003,1212.56,53908.67999999999,1275.2999999999997,77.71522799999993,31436.42421200001,54167.584571117
2026-06-21,1410.0995999999998,69406.664004,2144.4500000000003,1343.1999999999998,57228.6,1317.8099999999997,91.35119999999995,28422.176856000002,54361.59158473335
2026-06-22,1324.608012,69589.97152400001,2144.4500000000003,1349.6399999999999,60382.64,1347.2399999999998,-11.614535999999994,25494.346136000004,54505.16408860814
2026-06-23,1227.920239,68322.777452,2144.4500000000003,1324.8,55022.28,1313.4499999999998,-92.44984199999992,29290.934727999997,53512.65583901572
