ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,LifecycleCalibratedImpressions
2026-06-06,1773.373343,56005.344452000005,2645.75,1939.3000000000002,65978.4,1437.36,-330.05206299999986,17101.491240000003,69281.2001122319
2026-06-07,1953.627879,56332.219388,2645.75,2163.7000000000003,74508.74999999999,1449.79,-393.6080390000001,8395.609559999999,69685.55951889708
2026-06-08,1848.640367,56477.263868,2645.75,2406.8,77565.68999999999,1447.53,-767.770047,5319.827159999998,69864.98624579931
2026-06-09,1814.6072000000001,55591.6953,2645.75,2190.1000000000004,68090.73,1409.11,-564.0051999999998,14164.761,68769.49698896072
2026-06-10,1801.530409,55257.03918,2645.75,1785.3000000000002,63852.74999999999,1447.53,-132.02176899999995,18217.956599999998,68355.51189797759
2026-06-11,1795.580171,55092.0162,2645.75,1662.1000000000001,59491.55999999999,1472.3899999999999,-2.552011000000152,22672.193999999992,68151.37084300566
2026-06-12,1725.0305449999998,55112.55292000001,2645.75,1646.7,56916.35999999999,1383.12,-57.347345000000125,25488.620400000007,68176.77571502085
2026-06-13,1856.783299,56193.324296,2645.75,1640.1000000000001,58857.74999999999,1507.4199999999998,83.87974100000011,25096.301519999997,69513.73986922586
2026-06-14,1994.6838309999998,56726.745344,2645.75,1722.6000000000001,61014.479999999996,1450.9199999999998,133.34792899999997,23606.945279999996,70173.60636468572
2026-06-15,1847.829501,56786.674764,2645.75,2154.9,64268.99999999999,1446.3999999999999,-491.50454099999996,20183.170680000003,70247.7418276537
2026-06-16,1720.942538,56051.401288,2645.75,1881.0000000000002,59461.59,1395.55,-319.23405799999995,24219.412559999997,69338.17454748758
2026-06-17,1670.701333,55657.499976,2645.75,1883.2,62403.09,1419.28,-372.73965299999986,20417.463119999993,68850.90041520308
2026-06-18,1642.355057,55382.954992000006,2645.75,1588.4,54583.13999999999,1389.8999999999999,-77.28233699999996,28437.971040000004,68511.27557828033
2026-06-19,1561.8153810000001,55193.7441,2645.75,1387.1000000000001,49621.439999999995,1336.79,62.254379000000085,33503.217000000004,68277.21295800128
2026-06-20,1659.0877659999999,55915.75793200001,2645.75,1449.8000000000002,51585.02999999999,1322.1,92.19159399999991,32520.43884000001,69170.37744557021
2026-06-21,1843.9763999999998,56116.026216000006,2645.75,1606.0000000000002,54761.84999999999,1366.1699999999998,108.36759999999992,29402.251920000002,69418.11857091635
2026-06-22,1732.179708,56264.232296,2645.75,1613.7,57779.939999999995,1396.6799999999998,-13.778027999999992,26373.461520000004,69601.4563431736
2026-06-23,1605.741851,55239.692408,2645.75,1584.0000000000002,52650.63,1361.6499999999999,-109.6708909999999,30300.966959999998,68334.0531391039
