ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError
2026-05-30,1202.8995639999998,65265.573670000005,4060.68,888.75,34413.759999999995,1030.3200000000002,-0.8424879999998893,13544.184965999997
2026-05-31,1265.996608,66584.63768,4060.68,1251.3600000000001,40374.34,1123.2,-424.8751359999999,8809.701264
2026-06-01,1260.6223189999996,65570.28016000001,4060.68,1427.53,46393.96,1170.72,-666.5791979999999,2364.449568000001
2026-06-02,1165.5905899999998,62994.2038,4060.68,1391.19,46874.479999999996,1131.8400000000001,-711.9627800000001,80.697239999999
2026-06-03,1144.3301179999999,62174.85901000001,4060.68,1376.97,46065.14,1218.24,-713.944556,269.5672979999996
2026-06-04,1132.0051089999997,61993.59188000001,4060.68,1398.3,46539.92,1198.8000000000002,-754.7743780000001,-310.5875760000006
2026-06-05,1137.1402529999998,62267.15264000001,4060.68,1259.26,44024.979999999996,1125.3600000000001,-563.127226,2275.651872000004
2026-06-06,1206.747498,65118.19193000001,4060.68,1365.91,47979.02,1144.8000000000002,-637.2705159999999,536.1379139999996
2026-06-07,1239.2729299999999,66062.73971000001,4060.68,1535.76,54243.0,1127.52,-832.9490599999999,-4752.511842000002
2026-06-08,1204.9084889999997,64572.29922,4060.68,1704.8200000000002,56492.259999999995,1156.68,-1093.8323380000002,-7948.909643999999
2026-06-09,1131.0376149999997,62716.013470000005,4060.68,1547.6100000000001,49520.619999999995,1108.0800000000002,-956.0728300000001,-2633.624994000002
2026-06-10,1129.669513,62093.30666,4060.68,1254.52,46470.219999999994,1176.1200000000001,-564.1681459999999,-173.58073200000115
2026-06-11,1120.0142609999998,61967.624840000004,4060.68,1173.94,43285.34,1178.28,-465.61316200000016,2766.819432000002
2026-06-12,1122.4955909999999,62040.86251,4060.68,1155.77,41385.399999999994,1104.8400000000001,-438.7750219999999,4626.011597999998
2026-06-13,1197.5742809999997,65086.49389000001,4060.68,1154.98,42772.84,1194.48,-363.338002,5465.8811220000025
2026-06-14,1220.3730919999998,66073.03989,4060.68,1209.49,44377.579999999994,1171.8000000000002,-413.89226400000007,4638.971922000003
2026-06-15,1172.7305929999998,64570.72589,4060.68,1519.17,46825.28,1170.72,-876.609506,1245.394721999999
2026-06-16,1120.7330869999998,62752.165960000006,4060.68,1317.72,43226.299999999996,1113.48,-657.8210540000001,3379.2904080000017
2026-06-17,1113.4848,62054.24830000001,4060.68,1324.04,45450.96,1143.72,-673.4816000000002,768.263340000001
2026-06-18,1112.5219069999998,62015.979300000006,4060.68,1111.53,39622.399999999994,1115.64,-389.295494,6285.36714
2026-06-19,1114.3200419999998,62119.430340000006,4060.68,987.5,36093.119999999995,1084.3200000000002,-221.0941640000001,9715.843332
2026-06-20,1200.261479,65170.86004000001,4060.68,1020.6800000000001,37537.14,1048.68,-180.47591799999992,10506.004392
2026-06-21,1222.1170849999999,66223.93118,4060.68,1143.13,39866.759999999995,1078.92,-323.12456999999995,9036.747564
2026-06-22,1163.4635369999996,64730.358550000004,4060.68,1140.76,41980.719999999994,1092.96,-378.0499540000001,5966.8287900000005
2026-06-23,1114.772117,62829.04144000001,4060.68,1107.5800000000002,38221.02,1063.8000000000002,-381.76631399999997,8194.922112000002
2026-06-24,1103.6077369999998,62067.769060000006,4060.68,1022.26,36736.82,1029.24,-278.3463539999999,9066.910788
2026-06-25,1109.6941109999998,62070.564600000005,4060.68,966.96,35347.74,1078.92,-198.1168620000001,10390.21308
2026-06-26,1113.0212759999997,62081.26232000001,4060.68,877.69,33476.5,1002.24,-75.04079200000008,12177.758736000002
2026-06-27,1214.1278229999998,65180.14437000001,4060.68,981.97,34878.7,1022.7600000000001,-114.7991659999999,13041.347826000003
2026-06-28,1244.7996939999998,66583.15642000001,4060.68,1076.77,37052.52,1026.0,-211.613948,11968.430916000001
2026-06-29,1194.7337519999999,65252.498080000005,4060.68,1011.99,37697.86,1054.0800000000002,-174.29198400000007,10411.013184
2026-06-30,1138.6333309999998,63073.32438,4060.68,1068.8700000000001,35018.1,964.44,-306.1881020000001,11414.820924000003
2026-07-01,1126.756117,62289.72849000001,4060.68,1110.74,37499.42,1036.8000000000002,-374.1343139999999,8498.900202
2026-07-02,1128.5328519999998,62046.700430000004,4060.68,946.4200000000001,34557.259999999995,987.1200000000001,-151.89418399999997,11125.211214
2026-07-03,1129.2405499999998,62148.13913,4060.68,862.6800000000001,32069.379999999997,1000.08,-38.833099999999995,13563.660474000004
2026-07-04,1204.094005,65159.35976000001,4060.68,894.2800000000001,32631.079999999998,999.0000000000001,-7.079209999999985,15164.589648
2026-07-05,1238.2904559999997,66159.01006000002,4060.68,985.13,34603.18,1047.6000000000001,-95.10235200000001,13997.532588000004
2026-07-06,1188.1393419999997,64736.39359000001,4060.68,1343.79,33956.2,1077.8400000000001,-626.0247640000001,13604.188182000002
2026-07-07,1135.4048199999997,62931.82104000001,4060.68,1184.21,32313.739999999998,1067.04,-464.14644000000004,13886.922192000004
