HorizonDays,Metric,OriginDate,sum_7,mean_7,median_7,std_7,sum_14,mean_14,median_14,std_14,sum_28,mean_28,median_28,std_28,sum_56,mean_56,median_56,std_56,momentum_28_vs_prev28,last_value,trend_7_vs_28,origin_month,origin_dow,month_sin,month_cos,doy_sin,doy_cos,TargetTotal,Recent28RunRate,Recent56RunRate
90,clicks,2025-06-16,10635.169999999998,1285.5700000000004,1207.1999999999998,281.8010278511403,28734.93,1431.5721428571428,1498.2199999999998,602.5784332045625,48749.32,1719.0085714285713,1912.8249999999998,773.0645707355438,118372.26,2772.929285714286,2066.095,758.3204669706145,0.781066276268033,1388.28,0.5530245673170415,6.0,0.0,1.2246467991473532e-16,-1.0,0.2761855489162181,-1.1183484609152117,132534.31,198347.14285714284,204560.3571428572
90,clicks,2025-06-17,10007.269999999999,1209.67,1180.8,175.5155787957297,27947.149999999998,1392.325,1373.1,591.7624957941922,46824.090000000004,1651.1207142857143,1876.725,736.3582451396901,118168.59,2768.158214285714,2066.095,760.3921333581504,0.7256745633703091,1347.8,0.5417698368510739,6.0,0.97,1.2246467991473532e-16,-1.0,0.2588974008959172,-1.1234819911074156,133001.0,190513.92857142852,204208.39285714284
90,clicks,2025-06-18,9700.599999999999,1172.6000000000001,1180.8,108.23128432261372,26238.309999999998,1307.190714285714,1373.1,407.6866353623346,44144.41,1556.629285714286,1840.625,607.9861468694858,118424.34,2774.1492857142857,2066.095,757.1101521278804,0.6490374900292475,1408.52,0.5570464754201042,6.0,1.94,1.2246467991473532e-16,-1.0,0.24153264096943292,-1.1282830649033637,133212.31,179611.07142857142,204650.3571428572
90,clicks,2025-06-19,9269.259999999998,1120.46,1175.1999999999998,88.5547600905444,25643.309999999998,1277.547857142857,1354.6999999999998,411.83737725724023,41038.92,1447.1228571428574,1800.725,381.0163339098765,118374.12,2772.9728571428577,2066.095,757.8251727308152,0.5723271742593182,1172.08,0.5725556325556326,6.0,2.91,1.2246467991473532e-16,-1.0,0.2240964076485993,-1.132750261588078,133701.59999999998,166975.7142857143,204563.57142857145
90,clicks,2025-06-20,8979.88,1085.48,1172.0,149.32534746625691,25903.92,1290.5314285714285,1354.6999999999998,383.19044766757105,39423.37,1390.155,1729.9499999999998,337.1178604678616,118311.81,2771.513214285714,2066.095,758.8165116163003,0.5357307861448121,1058.9199999999998,0.5774113780734625,6.0,3.88,1.2246467991473532e-16,-1.0,0.20659386059537796,-1.1368822592461891,134537.8,160402.5,204455.89285714284
90,clicks,2025-06-21,8858.849999999999,1070.8500000000001,1169.6,147.78188743232786,26170.48,1303.8114285714285,1354.6999999999998,362.6884917402485,38796.11,1368.0364285714286,1672.9499999999998,338.5514077466595,116914.95,2738.7910714285713,2023.0399999999997,762.1639273961866,0.5320793410437824,1235.56,0.5788389093648821,6.0,4.85,1.2246467991473532e-16,-1.0,0.1890301790950303,-1.1406778351531126,135135.56999999998,157850.35714285713,202041.9642857143
90,clicks,2025-06-22,8668.66,1047.8600000000001,1074.3999999999999,152.5075190384569,26069.329999999998,1298.7721428571429,1354.6999999999998,369.194632591935,38138.04,1344.8314285714287,1651.1,342.24784617619565,114387.20999999999,2679.5775,1994.6999999999998,747.6302970266407,0.5362492471995824,1152.76,0.5761852680420914,6.0,5.82,1.2246467991473532e-16,-1.0,0.17141056052348583,-1.1441358661368723,136057.65,155172.85714285713,197673.75
90,clicks,2025-06-23,8533.98,1031.5800000000002,1074.3999999999999,136.39322174791351,25067.35,1248.8535714285713,1349.6399999999999,305.7318512977658,37409.66,1319.1471428571429,1548.0249999999999,335.4892189119085,112075.23,2625.418214285714,1970.7199999999998,732.740532766322,0.5372530311521796,1252.12,0.5782776534189298,6.0,0.0,1.2246467991473532e-16,-1.0,0.15374021880935163,-1.1472553289104666,137066.74,152209.2857142857,193678.39285714284
90,clicks,2025-06-24,8444.8,1020.8000000000001,1074.3999999999999,124.78959787889175,24129.629999999997,1202.1364285714285,1346.4199999999998,217.60905780967926,36867.72,1300.037142857143,1444.0,334.1074553285551,109928.79,2575.136785714286,1947.8299999999997,719.9710776642067,0.5414753617110505,1257.6399999999999,0.5806462672495072,6.0,0.97,1.2246467991473532e-16,-1.0,0.13602438289102955,-1.1500353003746724,137580.88999999998,150004.2857142857,189969.1071428572
90,clicks,2025-06-25,8174.529999999999,988.13,1019.1999999999999,83.48998141045648,23375.17,1164.5492857142858,1301.34,176.10673247916955,36263.37,1278.7264285714286,1417.875,335.92112875552766,108113.43,2532.6110714285714,1919.4899999999998,716.7013178611991,0.5415859725933928,1135.28,0.5714301897479468,6.0,1.94,1.2246467991473532e-16,-1.0,0.1182682951693876,-1.1524749578912088,138202.38999999998,147545.35714285713,186831.9642857143
90,clicks,2025-06-26,8117.199999999999,981.1999999999999,1002.3999999999999,88.42737954424085,22736.14,1132.712857142857,1254.8799999999999,143.01047770948068,35677.98,1258.0842857142854,1398.875,338.05496236800406,105956.76,2482.09,1894.4199999999998,706.1004333662456,0.5450699432892249,1114.12,0.5767326513440503,6.0,2.91,1.2246467991473532e-16,-1.0,0.10047720995645124,-1.1545735795261658,138843.09999999998,145163.57142857142,183105.0
90,clicks,2025-06-27,8174.529999999999,988.13,1002.3999999999999,74.61239170485267,22432.69,1117.595,1243.84,145.5747819605344,35271.92,1243.7657142857147,1393.6499999999999,342.41260277445326,104001.9,2436.2964285714284,1883.5199999999998,698.4047926159869,0.5516037033729273,1116.8799999999999,0.5874923848772621,6.0,3.88,1.2246467991473532e-16,-1.0,0.08265639192056574,-1.1563305442636385,139412.62,143511.42857142858,179726.7857142857
90,clicks,2025-06-28,8142.679999999999,984.28,1002.3999999999999,70.6109208180683,22232.77,1107.635,1219.4599999999998,139.3275893097169,34786.07,1226.6335714285715,1390.325,341.1649750928457,101928.93,2387.7360714285714,1842.0999999999997,683.5843433557577,0.5573967484138604,1203.36,0.5933767855926236,6.0,4.85,1.2246467991473532e-16,-1.0,0.064811114528498,-1.157745332189494,139975.36,141534.64285714287,176144.4642857143
90,clicks,2025-06-29,8264.619999999999,999.0199999999998,1046.3999999999999,81.14928103344413,22143.52,1103.1885714285713,1219.4599999999998,134.0980208044603,34186.46,1205.49,1353.2749999999999,330.98509506795443,99731.34,2336.2564285714284,1777.7899999999997,660.6505806987163,0.5615255456194108,1276.04,0.6128261773813375,6.0,5.82,1.2246467991473532e-16,-1.0,0.04694665848493078,-1.1588175246452233,141001.4,139095.0,172346.7857142857
90,clicks,2025-06-30,8321.039999999999,1005.8399999999999,1046.3999999999999,93.06142224468783,22041.18,1098.09,1219.4599999999998,124.52607300137132,33708.51,1188.6364285714285,1334.75,323.31812109763047,96976.68,2271.727142857143,1747.2699999999998,611.8916358043693,0.5748578895255408,1309.1599999999999,0.6257582788441257,6.0,0.0,1.2246467991473532e-16,-1.0,0.029068310169818715,-1.1595468043518284,142676.06,137150.35714285713,167586.42857142858
90,clicks,2025-07-01,8223.67,994.07,1007.9999999999999,89.83398402450091,21797.23,1085.9364285714285,1187.7199999999998,116.32805476982159,33023.58,1164.4842857142855,1308.1499999999999,312.34745869473824,95718.39,2242.251071428572,1738.0049999999999,609.9154615387115,0.567655306686736,1159.1999999999998,0.6312626190134444,7.0,0.97,-0.4999999999999997,-0.8660254037844388,0.011181360074062776,-1.1599329555037121,145785.81999999998,134363.57142857142,165411.9642857143
90,clicks,2025-07-02,8230.949999999999,994.95,1007.9999999999999,88.94385865160525,21453.32,1068.8028571428572,1165.6399999999999,90.95541854812886,31660.83,1116.4307142857147,1295.8,222.27507902739043,95184.56999999999,2229.7460714285717,1734.7349999999997,612.8571906322826,0.53417121659815,1142.6399999999999,0.6590163934426229,7.0,1.94,-0.4999999999999997,-0.8660254037844388,-0.006708898766029304,-1.1599758638325355,147935.08,128818.92857142858,164489.4642857143
90,clicks,2025-07-03,8175.44,988.2399999999998,1007.9999999999999,101.69095246011267,21305.76,1061.4514285714286,1155.98,100.45538760046263,31167.870000000003,1099.047857142857,1284.3999999999999,219.70919034937887,94717.70999999999,2218.809642857143,1729.8299999999997,616.4136796011992,0.5248259448023849,1058.0,0.6649248472866449,7.0,2.91,-0.4999999999999997,-0.8660254037844388,-0.02459717233504076,-1.1596755166410337,149697.87999999998,126813.21428571428,163682.67857142858
90,clicks,2025-07-04,7998.9,966.9000000000001,1007.9999999999999,146.05316946305572,21149.87,1053.685,1155.98,123.19051447714169,31237.390000000003,1101.4992857142854,1284.3999999999999,215.89370363889347,94222.01999999999,2207.197857142857,1729.8299999999997,621.0998428446369,0.5312843799070791,938.4,0.6491186363521408,7.0,3.88,-0.4999999999999997,-0.8660254037844388,-0.04247816720502795,-1.1590320028067724,151236.93999999997,127096.07142857142,162826.07142857142
90,clicks,2025-07-05,7797.789999999999,942.59,993.5999999999999,157.52217709754717,20845.23,1038.5078571428571,1147.6999999999998,132.53127778693124,31212.11,1100.607857142857,1284.3999999999999,216.88533648248895,93748.65,2196.108928571429,1723.8349999999998,625.0023156491795,0.5349854802923518,1000.04,0.6333108911893492,7.0,4.85,-0.4999999999999997,-0.8660254037844388,-0.060346592101931516,-1.158045512755849,153412.18999999997,126993.21428571428,162008.0357142857
