ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,DirectCalibratedClicks,DirectCalibratedImpressions
2026-06-01,1606.0344489999998,77062.48081600001,2172.3,1804.18,44913.96,1173.04,-286.7076420000001,11490.024736000007,1447.315894381445,98940.54396635886
2026-06-02,1495.0574069999998,76618.165174,2172.3,1763.02,45384.3,1114.08,-333.362406,10713.178803999997,1347.3063105907322,98370.08697033758
2026-06-03,1496.864954,76376.58174000001,2172.3,1736.56,44578.560000000005,1181.84,-311.008932,11325.048040000001,1348.935224282198,98059.917921533
2026-06-04,1476.3130039999999,76477.51589400001,2172.3,1782.62,45002.880000000005,1174.8,-362.375832,10983.975924,1330.41434889621,98189.50731439708
2026-06-05,1522.484859,76736.308216,2172.3,1595.44,42492.060000000005,1099.1200000000001,-180.355422,13615.965136,1372.023207072437,98521.7708600534
2026-06-06,1624.350373,78112.717262,2172.3,1727.74,46363.200000000004,1119.36,-212.76083399999993,10830.944452000003,1463.8217221001398,100288.94287799836
2026-06-07,1789.4574689999997,78568.621778,2172.3,1927.6599999999999,52357.5,1129.04,-253.73080200000007,5317.219388,1612.611883148524,100874.27883308475
2026-06-08,1693.2924369999998,78770.920658,2172.3,2144.24,54505.62,1127.28,-494.926146,3369.2238679999987,1525.9504921777627,101134.01043034252
2026-06-09,1662.1191999999999,77535.78555,2172.3,1951.18,47847.54,1097.36,-363.57359999999994,8971.015300000001,1497.857993030243,99548.22006694568
2026-06-10,1650.141299,77069.02833,2172.3,1590.54,44869.5,1127.28,-85.10494199999998,11538.03918,1487.0638245057623,98948.95032169452
2026-06-11,1644.691081,76838.8647,2172.3,1480.78,41804.880000000005,1146.64,-1.6450980000000983,14359.056199999997,1482.15223176617,98653.44316292752
2026-06-12,1580.0699949999996,76867.50802000001,2172.3,1467.06,39995.28,1077.1200000000001,-36.96771000000008,16142.792920000005,1423.9174131181485,98690.2183307108
2026-06-13,1700.7510889999999,78374.899676,2172.3,1461.18,41359.5,1173.92,54.07123800000007,15894.324295999999,1532.6720326758395,100625.55896386654
2026-06-14,1827.0633409999998,79118.881664,2172.3,1534.68,42875.04,1129.92,85.95982199999997,14951.065343999999,1646.5013033297437,101580.75767813646
2026-06-15,1692.549711,79202.467434,2172.3,1919.82,45162.0,1126.4,-316.83763799999997,12782.674764000003,1525.2811670922144,101688.07347518942
2026-06-16,1576.3255179999999,78176.95442800001,2172.3,1675.8,41783.82,1086.8,-205.787244,15338.961287999999,1420.5429891874412,100371.4169961373
2026-06-17,1530.306263,77627.565756,2172.3,1677.76,43850.82,1105.28,-240.27845399999993,12931.059975999997,1379.0716501071593,99666.05670302108
2026-06-18,1504.342027,77244.647752,2172.3,1415.12,38355.72,1082.4,-49.818365999999976,18010.714992,1355.6733652997136,99174.42815422402
2026-06-19,1430.570391,76980.74835000001,2172.3,1235.78,34869.12,1041.04,40.130922000000055,21218.704100000003,1289.1923122912906,98835.60762690906
2026-06-20,1519.6686259999997,77987.76764200002,2172.3,1291.6399999999999,36248.94,1029.6,59.42929199999995,20596.277932000008,1369.485292156776,100128.5200205938
2026-06-21,1689.0203999999997,78267.089196,2172.3,1430.8,38481.3,1063.92,69.85679999999996,18621.426216000003,1522.1006450867894,100487.141053834
2026-06-22,1586.6183879999999,78473.797676,2172.3,1437.66,40602.12,1087.68,-8.881703999999996,16703.192296000005,1429.8186522089147,100752.53413795352
2026-06-23,1470.805561,77044.83414800001,2172.3,1411.2,36997.74,1060.4,-70.69693799999993,19190.612407999997,1325.451186495638,98917.88740362396
2026-06-24,1474.6315699999998,76652.31561800001,2172.3,1301.44,35504.04,1022.5600000000001,19.400940000000038,20364.584028000005,1328.89908491475,98413.93273640008
2026-06-25,1489.9378949999998,76353.921696,2172.3,1218.1399999999999,34046.22,1032.24,96.65409000000007,21571.081216000002,1342.692741377637,98030.82468373528
2026-06-26,1455.2980219999997,76250.514138,2172.3,1099.56,32250.66,989.12,166.245924,23246.459948,1311.4762012819554,97898.05968667813
2026-06-27,1568.337889,77690.678792,2172.3,1245.58,33822.36,998.8,130.91683800000007,22747.630832000003,1413.3447485660645,99747.08755029055
2026-06-28,1704.9554369999998,78164.18354800002,2172.3,1346.52,35752.08,999.68,148.339854,21206.884808000006,1536.4608802249688,100355.02045918768
2026-06-29,1605.0054889999997,78500.259834,2172.3,1270.08,36404.16,1041.92,137.65603799999997,20812.485164,1446.3886227630749,100786.5089111417
2026-06-30,1477.0746959999997,77154.825366,2172.3,1345.54,33771.66,936.32,-13.950768000000053,22412.834036,1331.100765640825,99059.10516387784
2026-07-01,1476.3257569999998,76550.50102800001,2172.3,1399.44,36110.1,990.88,-57.386705999999954,19701.064888,1330.4258415635138,98283.21295147172
2026-07-02,1508.0236109999998,76960.08227200001,2172.3,1195.6,33371.520000000004,957.44,127.53616200000005,22663.086912000002,1358.9911117173065,98809.07444270165
2026-07-03,1477.1167699999999,77172.0174,2172.3,1086.82,31019.04,977.68,191.99934,25107.200399999994,1331.138681620136,99081.17802187354
2026-07-04,1587.9315109999998,78777.585832,2172.3,1128.96,31521.36,974.16,237.75796200000002,25768.922671999997,1431.0020040295192,101142.5678493901
2026-07-05,1766.7802369999997,79358.029112,2172.3,1249.5,33488.520000000004,1029.6,269.80145400000004,24268.369552,1592.1757596677285,101887.79916373023
2026-07-06,1688.1761949999998,79408.03493000001,2172.3,1715.98,32977.62,1066.56,-157.72731000000005,24802.02278,1521.3398698024378,101952.00164958344
2026-07-07,1642.8668569999998,78180.41702400001,2172.3,1493.52,31234.32,1014.64,-13.090505999999982,25620.443904000003,1480.508289202076,100375.86262425812
2026-07-08,1648.2727119999997,77606.180362,2172.3,1271.06,32448.780000000002,1113.2,167.837904,24025.407052000002,1485.3799031759188,99638.59998876936
2026-07-09,1637.077867,77568.310484,2172.3,1202.46,30850.56,1074.48,214.4269140000001,25555.495064000002,1475.2914040694864,99589.97884019504
2026-07-10,1601.5257729999998,77527.947804,2172.3,1082.9,27603.420000000002,1025.2,284.145966,28690.435784,1443.2527944638318,99538.1571823292
2026-07-11,1687.4790309999998,79032.746488,2172.3,1178.94,27465.36,961.84,269.213802,29903.868047999997,1520.7116039898217,101470.16869789812
2026-07-12,1847.6558389999998,79665.89339200001,2172.3,1052.52,28157.22,986.48,484.455738,29683.702432000006,1665.0587195040823,102283.06621208468
2026-07-13,1761.972683,79641.314006,2172.3,1014.3,26661.18,945.12,453.5611860000001,31123.759475999996,1587.8433187779149,102251.50873047432
2026-07-14,1645.3189209999996,78508.02560600001,2172.3,1028.02,26732.16,987.36,359.1641819999999,30242.053076000007,1482.7180246180567,100796.47938831638
2026-07-15,1597.3648069999997,78444.785582,2172.3,1062.32,26606.58,957.44,297.5483939999999,30319.071172,1439.503041629121,100715.28550111275
2026-07-16,1538.6183849999998,78066.36696000001,2172.3,1004.5,26194.74,939.84,301.5296700000001,30449.032160000002,1386.5623152632695,100229.43371031618
2026-07-17,1454.0578199999998,77787.575406,2172.3,981.96,24704.16,951.28,258.95844000000005,31701.503876000002,1310.3585639436271,99871.49314424684
2026-07-18,1541.4069319999999,78731.349586,2172.3,930.02,24550.5,914.32,362.805144,32527.892155999998,1389.0752802858087,101083.2051182431
2026-07-19,1763.4531209999998,78630.90377399999,2172.3,930.02,28259.4,968.88,521.700582,28842.074403999995,1589.1774504644302,100954.24270783029
2026-07-20,1638.5414099999998,78629.289818,2172.3,920.22,26062.14,929.28,440.11422000000005,30981.837227999997,1476.610310427522,100952.1705492015
2026-07-21,1488.1805969999998,77226.35946600001,2172.3,967.26,26295.36,983.84,295.076574,29748.722636000002,1341.1091107599077,99150.94781793206
2026-07-22,1509.8064149999998,76798.36687,2172.3,869.26,24220.56,902.88,388.5519299999999,31463.46002,1360.5977276696435,98601.4479859331
2026-07-23,1514.6975719999998,76704.616654,2172.3,904.54,24097.32,904.64,363.9720239999999,31516.322884,1365.00550937845,98481.0820533835
2026-07-24,1475.2203879999997,76554.658984,2172.3,887.88,23947.56,968.88,348.982296,31554.726064000002,1329.4297121692452,98288.55135252074
2026-07-25,1557.8421699999997,77870.312964,2172.3,952.56,24219.780000000002,924.0,356.62614,32232.785143999998,1403.88628337491,99977.71992163952
2026-07-26,1741.8513919999998,78233.48168400001,2172.3,977.06,25036.440000000002,932.8,468.80246400000004,31697.450264000006,1569.7105419262682,100443.99235834138
2026-07-27,1633.0396349999996,78363.13028400001,2172.3,945.6999999999999,26237.64,925.76,415.89716999999996,30620.005864,1471.6522558790853,100610.44823768304
2026-07-28,1484.9102699999999,76988.02069199999,2172.3,885.92,25323.48,933.68,357.4763400000001,30524.798232,1338.161978305886,98844.9445891476
2026-07-29,1463.084764,76572.96401800001,2172.3,886.9,25059.06,931.92,341.0780880000001,30484.850427999998,1318.4934078363133,98312.05319157532
2026-07-30,1477.519198,76504.85954800001,2172.3,866.3199999999999,24211.98,896.72,367.7873159999999,31261.380807999998,1331.5013391217276,98224.61384058389
2026-07-31,1447.3365529999999,76391.64699,2172.3,852.6,22533.420000000002,830.72,357.10872600000005,32815.72954,1304.3015353627404,98079.26020086536
2026-08-01,1579.3128809999998,77730.095846,2172.3,886.9,24298.56,902.0,424.2505020000001,32055.492116,1423.235121946411,99797.69511863012
2026-08-02,1693.2480739999996,78659.671538,2172.3,961.38,25795.38,902.88,446.50210799999996,31263.540347999995,1525.910513412013,100991.17764930526
2026-08-03,1555.8438729999998,79130.216138,2172.3,898.66,24383.58,923.12,398.09616600000004,32976.511948,1402.0854708135134,101595.31001295954
2026-08-04,1481.612911,77994.05969600001,2172.3,881.02,23991.24,953.92,359.0167620000001,32544.189216000006,1335.1904853262968,100136.59839075308
2026-08-05,1504.0454379999996,77662.112322,2172.3,908.46,24102.780000000002,880.88,353.22939599999995,32197.509212,1355.4060871139525,99710.41105024709
2026-08-06,1556.071356,77269.11817,2172.3,981.96,24452.22,851.84,331.95895200000007,31575.259820000003,1402.290472494397,99205.84573178404
2026-08-07,1518.3898379999998,77356.73437800001,2172.3,849.66,22403.940000000002,852.72,410.294196,33633.838988,1368.332882132759,99318.33620948473
2026-08-08,1656.2892259999999,78666.857172,2172.3,838.88,23650.38,836.0,517.5544920000001,33358.692312,1492.6041741975996,101000.40328711468
2026-08-09,1832.7028919999998,79145.268562,2172.3,956.48,26583.18,933.68,550.195464,30844.104251999997,1651.583517976233,101614.63582498638
2026-08-10,1697.4118739999997,79319.94596200001,2172.3,1037.82,27519.96,918.72,388.6417080000001,30056.584652000005,1529.6628201727913,101838.90419516635
2026-08-11,1628.9584569999997,77972.58780600001,2172.3,1069.18,27817.14,975.04,314.696694,28800.994276,1467.9744058859687,100109.03062425904
2026-08-12,1635.902956,77556.152814,2172.3,1204.42,30019.08,962.72,212.0261519999999,26356.938244000004,1474.2326052586377,99574.36960376213
2026-08-13,1641.7247549999997,77519.011368,2172.3,1099.56,29870.100000000002,966.24,299.65221,26475.468528,1479.4790569968552,99526.68368926748
2026-08-14,1555.3562069999998,77434.249316,2172.3,1031.94,27500.46,937.2,291.667194,28723.575736,1401.6459990740443,99417.85766337549
2026-08-15,1645.7745409999998,78863.79012,2172.3,1125.04,28085.460000000003,933.68,282.27022200000005,29178.529520000004,1483.1286173473777,101253.24556254754
2026-08-16,1762.609679,79323.417144,2172.3,1203.44,29840.460000000003,995.28,303.47701800000004,27798.073424000002,1588.4173627755586,101843.36084685534
